season,driver,team,races,total_points,avg_grid_position,avg_finish_position,podiums,wins,points_finishes,estimated_overtakes,points_per_race,podium_rate,points_finish_rate,overtakes_per_race,qualifying_score,points_norm,qualifying_norm,podium_norm,overtake_norm,performance_score,season_percentile,driver_class
2021,OCO,Alpine F1 Team,5,12.0,9.4,9.4,0,0,4,5.0,2.4,0.0,0.8,1.0,10.999999999999998,0.11428571428571428,0.5813953488372092,0.0,0.35714285714285715,0.2091362126245847,0.5,Average
2021,PER,Red Bull,5,44.0,4.6,5.8,0,0,4,8.0,8.8,0.0,0.8,1.6,15.799999999999999,0.41904761904761906,0.8604651162790697,0.0,0.5714285714285714,0.43875968992248066,0.8,Strong
2021,RAI,Alfa Romeo,5,0.0,15.2,13.4,0,0,0,14.0,0.0,0.0,0.0,2.8,5.199999999999999,0.0,0.24418604651162787,0.0,1.0,0.14883720930232558,0.35,Average
2021,RIC,McLaren,5,24.0,9.4,8.0,0,0,4,8.0,4.8,0.0,0.8,1.6,10.999999999999998,0.22857142857142856,0.5813953488372092,0.0,0.5714285714285714,0.2877076411960133,0.65,Strong
2021,RUS,Williams,5,0.0,13.6,15.4,0,0,0,3.0,0.0,0.0,0.0,0.6,6.799999999999999,0.0,0.33720930232558133,0.0,0.21428571428571427,0.0888704318936877,0.2,Weak
2021,SAI,Ferrari,5,38.0,6.8,6.6,1,0,4,8.0,7.6,0.2,0.8,1.6,13.599999999999998,0.3619047619047619,0.7325581395348836,0.2,0.5714285714285714,0.42460686600221487,0.75,Strong
2021,STR,Aston Martin,5,9.0,12.2,10.2,0,0,3,10.0,1.8,0.0,0.6,2.0,8.2,0.08571428571428572,0.41860465116279066,0.0,0.7142857142857143,0.19800664451827243,0.4,Average
2021,TSU,AlphaTauri,5,2.0,15.8,14.4,0,0,1,12.0,0.4,0.0,0.2,2.4,4.599999999999998,0.01904761904761905,0.20930232558139522,0.0,0.8571428571428571,0.1370985603543743,0.3,Average
2021,VER,Red Bull,5,105.0,2.2,1.6,5,2,5,4.0,21.0,1.0,1.0,0.8,18.2,1.0,1.0,1.0,0.2857142857142857,0.9285714285714285,1.0,Elite
2021,VET,Aston Martin,5,10.0,10.2,12.2,0,0,1,8.0,2.0,0.0,0.2,1.6,10.2,0.09523809523809523,0.5348837209302325,0.0,0.5714285714285714,0.21173864894795127,0.55,Strong
2022,ALB,Williams,5,3.0,17.2,11.4,0,0,2,29.0,0.6,0.0,0.4,5.8,2.6000000000000014,0.030927835051546393,0.09195402298850582,0.0,1.0,0.13385472212347438,0.2857142857142857,Average
2022,ALO,Alpine F1 Team,5,2.0,9.0,14.4,0,0,1,0.0,0.4,0.0,0.2,0.0,10.8,0.020618556701030927,0.5632183908045977,0.0,0.0,0.12295295651143501,0.23809523809523808,Weak
2022,BOT,Alfa Romeo,5,28.0,7.6,8.2,0,0,4,6.0,5.6,0.0,0.8,1.2,12.200000000000001,0.28865979381443296,0.6436781609195402,0.0,0.20689655172413793,0.2937551842635383,0.6666666666666666,Strong
2022,GAS,AlphaTauri,5,6.0,10.8,13.4,0,0,2,8.0,1.2,0.0,0.4,1.6,9.0,0.061855670103092786,0.4597701149425287,0.0,0.27586206896551724,0.15046806493660386,0.47619047619047616,Average
2022,HAM,Mercedes,5,36.0,9.0,7.2,1,0,4,9.0,7.2,0.2,0.8,1.8,10.8,0.3711340206185567,0.5632183908045977,0.25,0.3103448275862069,0.37924517122881857,0.7619047619047619,Strong
2022,HUL,Aston Martin,2,0.0,17.0,14.5,0,0,0,5.0,0.0,0.0,0.0,2.5,2.8000000000000007,0.0,0.10344827586206899,0.0,0.1724137931034483,0.03793103448275863,0.047619047619047616,Weak
2022,LAT,Williams,5,0.0,18.8,16.0,0,0,0,14.0,0.0,0.0,0.0,2.8,1.0,0.0,0.0,0.0,0.4827586206896552,0.048275862068965524,0.09523809523809523,Weak
2022,LEC,Ferrari,5,97.0,1.4,2.4,4,2,5,0.0,19.4,0.8,1.0,0.0,18.400000000000002,1.0,1.0,1.0,0.0,0.8999999999999999,1.0,Elite
2022,MAG,Haas F1 Team,5,14.0,11.4,10.6,0,0,3,5.0,2.8,0.0,0.6,1.0,8.4,0.14432989690721648,0.42528735632183906,0.0,0.1724137931034483,0.1744637990283209,0.5714285714285714,Strong
2022,MSC,Haas F1 Team,5,0.0,10.4,15.2,0,0,0,3.0,0.0,0.0,0.0,0.6,9.4,0.0,0.48275862068965514,0.0,0.10344827586206896,0.10689655172413792,0.14285714285714285,Weak
