season,round,driver,quali_lap_count,quali_best_lap,quali_median_lap,quali_top3_average,quali_lap_std,quali_best_sector_1,quali_best_sector_2,quali_best_sector_3,quali_best_lap_gap,quali_median_lap_gap,quali_top3_average_gap,quali_best_sector_1_gap,quali_best_sector_2_gap,quali_best_sector_3_gap
2023,2,ALB,3,115.049,116.82,121.60466666666666,9.860855963522297,35.017,36.869,35.997,26.784000000000006,27.945999999999998,33.01333333333332,2.949000000000005,8.887,7.8530000000000015
2023,2,ALO,5,88.73,88.925,88.80400000000002,0.31104453057399745,32.116,28.074,28.475,0.4650000000000034,0.05100000000000193,0.21266666666667788,0.04800000000000182,0.0920000000000023,0.33100000000000307
2023,2,BOT,7,89.668,90.011,89.86166666666668,3.8913432005879276,32.591,28.478,28.544,1.4030000000000058,1.1370000000000005,1.2703333333333404,0.5230000000000032,0.4960000000000022,0.40000000000000213
2023,2,DEV,3,90.244,90.562,90.45666666666666,0.18417745066465757,32.774,28.451,28.675,1.9789999999999992,1.6880000000000024,1.865333333333325,0.7060000000000031,0.4690000000000012,0.5310000000000024
2023,2,GAS,12,89.357,94.93299999999999,89.47433333333333,9.878423980237605,32.392,28.357,28.546,1.0919999999999987,6.0589999999999975,0.8829999999999956,0.3240000000000052,0.375,0.402000000000001
2023,2,HAM,7,89.223,89.448,89.28166666666668,0.3287023548671911,32.468,28.203,28.408,0.9579999999999984,0.5739999999999981,0.6903333333333421,0.4000000000000057,0.22100000000000009,0.2640000000000029
2023,2,HUL,8,89.451,89.831,89.48866666666667,7.932552767597218,32.635,28.239,28.496,1.1859999999999928,0.9570000000000078,0.8973333333333358,0.5670000000000002,0.25700000000000145,0.3520000000000003
2023,2,LEC,6,88.42,88.9855,88.69333333333334,0.5731990055818279,32.154,28.027,28.239,0.15500000000000114,0.1115000000000066,0.10200000000000387,0.08600000000000563,0.045000000000001705,0.09500000000000242
2023,2,MAG,5,89.517,89.744,89.63166666666666,0.2904811525727629,32.601,28.304,28.552,1.2519999999999953,0.8700000000000045,1.0403333333333222,0.5330000000000013,0.3219999999999992,0.40800000000000125
2023,2,NOR,1,90.447,90.447,90.447,,32.845,28.718,28.884,2.182000000000002,1.5730000000000075,1.8556666666666644,0.777000000000001,0.7360000000000007,0.740000000000002
2023,2,OCO,12,89.078,90.003,89.206,9.165249486594195,32.262,28.3,28.477,0.8130000000000024,1.1290000000000049,0.6146666666666647,0.19400000000000261,0.3180000000000014,0.33300000000000196
2023,2,PER,5,88.265,88.874,88.59133333333334,0.4222010184734261,32.139,27.982,28.144,0.0,0.0,0.0,0.07100000000000506,0.0,0.0
2023,2,PIA,9,89.243,89.819,89.44233333333334,0.5843241822824026,32.426,28.272,28.545,0.9779999999999944,0.9450000000000074,0.8509999999999991,0.3580000000000041,0.28999999999999915,0.40100000000000335
2023,2,RUS,7,88.857,89.284,88.95366666666666,0.4116705224419386,32.183,28.161,28.434,0.5919999999999987,0.4100000000000108,0.36233333333332496,0.11500000000000199,0.17900000000000205,0.2900000000000027
2023,2,SAI,7,88.931,89.411,89.07,0.7423817205775092,32.321,28.125,28.254,0.6659999999999968,0.5370000000000061,0.4786666666666548,0.2530000000000001,0.14300000000000068,0.11000000000000298
2023,2,SAR,2,89.721,109.1155,109.1155,27.427964935444983,32.779,28.335,28.607,1.456000000000003,20.241500000000002,20.52416666666666,0.7110000000000056,0.35300000000000153,0.46300000000000097
2023,2,STR,8,88.945,89.2565,88.97466666666666,0.5007508647735205,32.068,28.137,28.527,0.6799999999999926,0.3825000000000074,0.38333333333332575,0.0,0.15500000000000114,0.38300000000000267
2023,2,TSU,4,89.939,90.67750000000001,90.43133333333333,14.461686266361424,32.665,28.598,28.676,1.6739999999999924,1.8035000000000139,1.8399999999999892,0.5970000000000013,0.6159999999999997,0.532
2023,2,VER,2,88.761,99.357,99.357,14.98500690690532,32.268,28.188,28.305,0.4959999999999951,10.483000000000004,10.765666666666661,0.20000000000000284,0.20599999999999952,0.16100000000000136
2023,2,ZHO,7,89.461,90.076,89.69233333333334,0.440126767452936,32.628,28.302,28.531,1.195999999999998,1.2019999999999982,1.100999999999999,0.5600000000000023,0.3200000000000003,0.38700000000000045
