season,round,driver,fp3_lap_count,fp3_best_lap,fp3_median_lap,fp3_top3_average,fp3_lap_std,fp3_best_sector_1,fp3_best_sector_2,fp3_best_sector_3,fp3_best_lap_gap,fp3_median_lap_gap,fp3_top3_average_gap,fp3_best_sector_1_gap,fp3_best_sector_2_gap,fp3_best_sector_3_gap
2025,5,ALB,4,88.389,89.0355,88.82,0.7620963959150234,32.137,27.885,28.367,0.8999999999999915,0.5655000000000001,0.9013333333333406,0.3680000000000021,0.2980000000000018,0.41300000000000026
2025,5,ALO,6,88.888,89.9915,89.37833333333333,1.436796076924858,32.243,28.012,28.633,1.399000000000001,1.5215000000000032,1.4596666666666778,0.47400000000000375,0.4250000000000007,0.6789999999999985
2025,5,ANT,5,88.679,89.217,88.90766666666667,0.5685827116611988,32.286,27.88,28.423,1.1899999999999977,0.7469999999999999,0.9890000000000185,0.517000000000003,0.29299999999999926,0.46899999999999764
2025,5,BEA,4,88.989,89.3485,89.22866666666668,0.5690556504713135,32.532,27.975,28.475,1.5,0.8785000000000025,1.3100000000000307,0.7629999999999981,0.3880000000000017,0.5210000000000008
2025,5,BOR,11,89.41,92.953,90.48566666666666,1.4642291797765459,32.665,28.238,28.507,1.9209999999999923,4.483000000000004,2.5670000000000073,0.8960000000000008,0.6509999999999998,0.5530000000000008
2025,5,DOO,6,88.898,89.576,89.14033333333333,0.6172349363626992,32.435,28.062,28.388,1.4089999999999918,1.1059999999999945,1.2216666666666782,0.6660000000000039,0.4750000000000014,0.43400000000000105
2025,5,GAS,5,88.625,89.188,88.85699999999999,0.4673310389862849,32.198,28.062,28.365,1.1359999999999957,0.7180000000000035,0.9383333333333326,0.42900000000000205,0.4750000000000014,0.4109999999999978
2025,5,HAD,4,88.769,89.366,89.16700000000002,0.7976621569729018,32.359,28.012,28.398,1.2800000000000011,0.8960000000000008,1.2483333333333633,0.5900000000000034,0.4250000000000007,0.44399999999999906
2025,5,HAM,4,88.78,89.7775,89.44500000000001,6.088299187786353,32.323,27.984,28.451,1.2909999999999968,1.3075000000000045,1.5263333333333549,0.554000000000002,0.397000000000002,0.4969999999999999
2025,5,HUL,4,89.22,89.5465,89.43766666666666,0.6919202145719787,32.562,28.143,28.486,1.7309999999999945,1.0764999999999958,1.5190000000000055,0.7929999999999993,0.5560000000000009,0.532
2025,5,LAW,4,88.861,89.6265,89.37133333333334,8.18360313879732,32.347,28.053,28.406,1.3719999999999999,1.156499999999994,1.452666666666687,0.578000000000003,0.4660000000000011,0.4519999999999982
2025,5,LEC,7,88.372,88.821,88.55900000000001,0.6670876289977987,32.151,27.982,28.239,0.8829999999999956,0.3509999999999991,0.6403333333333592,0.382000000000005,0.3949999999999996,0.28500000000000014
2025,5,NOR,5,87.489,88.677,87.94566666666668,0.7427831446660589,31.769,27.67,27.954,0.0,0.20700000000000784,0.027000000000029445,0.0,0.08300000000000196,0.0
2025,5,OCO,9,89.336,94.723,89.658,2.9002466609660003,32.597,28.207,28.532,1.8469999999999942,6.253,1.7393333333333487,0.828000000000003,0.620000000000001,0.5779999999999994
2025,5,PIA,5,87.513,88.47,87.91866666666665,0.6496265850471311,31.827,27.587,28.076,0.02400000000000091,0.0,0.0,0.05800000000000338,0.0,0.12199999999999989
2025,5,RUS,4,88.116,88.565,88.41533333333332,0.5781545352815833,32.046,27.733,28.319,0.6269999999999953,0.09499999999999886,0.4966666666666697,0.277000000000001,0.1460000000000008,0.36499999999999844
2025,5,SAI,5,88.57,89.929,89.13166666666666,16.237615844082526,32.239,27.954,28.377,1.0809999999999889,1.4590000000000032,1.213000000000008,0.46999999999999886,0.3670000000000009,0.42299999999999827
2025,5,STR,6,89.478,90.37700000000001,89.77966666666667,1.7364832756656974,32.419,28.153,28.762,1.98899999999999,1.9070000000000107,1.8610000000000184,0.6499999999999986,0.565999999999999,0.8079999999999998
2025,5,TSU,4,88.67,88.975,88.87333333333333,0.7474754733991821,32.22,27.935,28.509,1.1809999999999974,0.5049999999999955,0.9546666666666823,0.4510000000000005,0.347999999999999,0.5549999999999997
2025,5,VER,4,88.334,88.58,88.498,0.3403687950836063,32.077,27.875,28.312,0.8449999999999989,0.10999999999999943,0.5793333333333521,0.30799999999999983,0.28800000000000026,0.35800000000000054
