season,round,driver,quali_lap_count,quali_best_lap,quali_median_lap,quali_top3_average,quali_lap_std,quali_best_sector_1,quali_best_sector_2,quali_best_sector_3,quali_best_lap_gap,quali_median_lap_gap,quali_top3_average_gap,quali_best_sector_1_gap,quali_best_sector_2_gap,quali_best_sector_3_gap
2025,4,ALB,2,92.04,92.25200000000001,92.25200000000001,0.29981327522309076,29.227,39.757,23.037,2.1990000000000123,1.9085000000000036,2.0760000000000076,0.4559999999999995,1.1829999999999998,0.5539999999999985
2025,4,ALO,4,91.634,91.901,91.812,0.3026830024960086,29.231,39.502,22.901,1.7930000000000064,1.5574999999999903,1.6359999999999957,0.46000000000000085,0.9280000000000044,0.41799999999999926
2025,4,ANT,6,90.213,91.29650000000001,90.70233333333333,0.5896509984728285,28.836,38.786,22.561,0.3719999999999999,0.953000000000003,0.5263333333333264,0.06499999999999773,0.2120000000000033,0.0779999999999994
2025,4,BEA,2,92.373,92.498,92.498,0.1767766952966369,29.319,39.796,22.965,2.5320000000000107,2.1544999999999987,2.3220000000000027,0.5479999999999983,1.2220000000000013,0.4819999999999993
2025,4,BOR,2,92.186,92.451,92.451,0.374766594028861,29.52,39.608,23.001,2.345000000000013,2.1074999999999875,2.2749999999999915,0.7489999999999988,1.033999999999999,0.5180000000000007
2025,4,DOO,4,91.245,91.3805,91.33533333333332,0.2999915276581416,29.094,39.215,22.752,1.4040000000000106,1.036999999999992,1.159333333333322,0.3230000000000004,0.6410000000000053,0.26899999999999835
2025,4,GAS,6,90.216,91.4845,90.77366666666666,0.7357207803689318,28.883,38.694,22.639,0.375,1.1409999999999911,0.5976666666666546,0.11199999999999832,0.12000000000000455,0.1559999999999988
2025,4,HAD,3,91.271,91.591,91.85666666666667,0.7544377597478357,29.081,39.267,22.851,1.4300000000000068,1.247499999999988,1.6806666666666672,0.3099999999999987,0.693000000000005,0.36799999999999855
2025,4,HAM,5,90.772,91.219,91.0,0.4519660385471453,28.955,39.058,22.759,0.9310000000000116,0.8754999999999882,0.8239999999999981,0.1839999999999975,0.48400000000000176,0.2759999999999998
2025,4,HUL,5,91.693,91.998,91.82466666666666,0.4408204850049518,29.039,39.479,22.846,1.8520000000000039,1.6544999999999987,1.6486666666666565,0.2680000000000007,0.9050000000000011,0.36299999999999955
2025,4,LAW,2,92.165,92.2765,92.2765,0.15768481220459937,29.327,39.808,22.958,2.3240000000000123,1.9329999999999927,2.1004999999999967,0.5560000000000009,1.2340000000000018,0.47499999999999787
2025,4,LEC,5,90.175,91.056,90.65166666666666,0.5198410333938633,28.926,38.714,22.535,0.3340000000000032,0.7124999999999915,0.4756666666666547,0.15499999999999758,0.14000000000000057,0.0519999999999996
2025,4,NOR,5,90.267,90.56,90.40766666666667,0.39528559295780086,28.8,38.678,22.582,0.42600000000000193,0.21649999999999636,0.23166666666666913,0.028999999999999915,0.1039999999999992,0.0990000000000002
2025,4,OCO,2,91.594,91.8255,91.8255,0.3273904396893772,29.154,39.527,22.904,1.7530000000000001,1.4819999999999993,1.6495000000000033,0.3829999999999991,0.953000000000003,0.4209999999999994
2025,4,PIA,4,89.841,90.3435,90.176,0.6587235130664961,28.784,38.574,22.483,0.0,0.0,0.0,0.012999999999998124,0.0,0.0
2025,4,RUS,6,90.009,91.0355,90.34566666666666,0.7472882754778545,28.771,38.71,22.528,0.16800000000000637,0.6919999999999931,0.1696666666666573,0.0,0.13600000000000279,0.04499999999999815
2025,4,SAI,6,90.68,91.4615,90.952,0.5608292966669984,28.894,38.929,22.723,0.8390000000000128,1.117999999999995,0.7759999999999962,0.12299999999999756,0.355000000000004,0.23999999999999844
2025,4,STR,3,92.283,92.704,92.854,0.6589317111810619,29.282,39.858,23.106,2.4420000000000073,2.3604999999999876,2.6779999999999973,0.5109999999999992,1.283999999999999,0.6230000000000011
2025,4,TSU,5,91.228,91.637,91.38933333333334,0.35239679340198704,29.026,39.177,22.9,1.3870000000000005,1.2934999999999945,1.2133333333333383,0.254999999999999,0.6030000000000015,0.41699999999999804
2025,4,VER,4,90.423,91.161,90.915,0.6786130463428081,28.88,38.855,22.688,0.5820000000000078,0.8174999999999955,0.7390000000000043,0.10899999999999821,0.2809999999999988,0.2049999999999983
