season,round,driver,fp1_lap_count,fp1_best_lap,fp1_median_lap,fp1_top3_average,fp1_lap_std,fp1_best_sector_1,fp1_best_sector_2,fp1_best_sector_3,fp1_best_lap_gap,fp1_median_lap_gap,fp1_top3_average_gap,fp1_best_sector_1_gap,fp1_best_sector_2_gap,fp1_best_sector_3_gap
2022,2,ALB,13,93.087,97.233,93.53633333333333,5.295983979176327,34.233,29.775,29.079,2.3149999999999977,3.3830000000000098,2.39166666666668,0.9769999999999968,0.7949999999999982,0.6780000000000008
2022,2,ALO,14,92.381,99.2085,93.19666666666666,6.313698406317334,33.717,29.606,29.058,1.6089999999999947,5.3585000000000065,2.0520000000000067,0.4609999999999985,0.6260000000000012,0.657
2022,2,BOT,9,91.084,93.85,92.04133333333334,4.667892532443783,33.281,29.192,28.611,0.3119999999999976,0.0,0.8966666666666896,0.02499999999999858,0.21199999999999974,0.21000000000000085
2022,2,GAS,17,91.317,97.445,91.58933333333334,7.934067212307428,33.403,29.263,28.567,0.5449999999999875,3.594999999999999,0.4446666666666914,0.14699999999999847,0.28300000000000125,0.16600000000000037
2022,2,HAM,12,92.364,96.10499999999999,93.68900000000001,6.1314123515094305,33.884,29.484,28.996,1.5919999999999987,2.2549999999999955,2.5443333333333555,0.6280000000000001,0.5040000000000013,0.5949999999999989
2022,2,HUL,10,93.034,95.0075,93.533,5.3938498928563705,34.253,29.53,29.242,2.2620000000000005,1.1574999999999989,2.3883333333333496,0.9969999999999999,0.5500000000000007,0.8410000000000011
2022,2,LAT,15,93.529,96.504,93.77733333333333,1.9105485250751089,34.219,29.893,29.155,2.756999999999991,2.6540000000000106,2.6326666666666796,0.963000000000001,0.9130000000000003,0.7540000000000013
2022,2,LEC,9,90.772,93.987,91.14466666666665,4.3387085476108105,33.256,29.035,28.43,0.0,0.13700000000000045,0.0,0.0,0.054999999999999716,0.028999999999999915
2022,2,MSC,13,94.429,95.688,94.78466666666667,1.0933178450278798,34.548,30.275,29.343,3.6569999999999965,1.838000000000008,3.640000000000015,1.2920000000000016,1.2949999999999982,0.9420000000000002
2022,2,NOR,11,92.594,97.113,93.009,3.2570785180476194,33.752,29.661,29.021,1.8219999999999885,3.2630000000000052,1.8643333333333487,0.4960000000000022,0.6810000000000009,0.620000000000001
2022,2,OCO,15,92.026,96.749,92.53766666666667,4.784857442271102,33.642,29.568,28.816,1.2539999999999907,2.899000000000001,1.393000000000015,0.3860000000000028,0.588000000000001,0.41499999999999915
2022,2,PER,16,91.563,95.7065,92.12866666666666,6.379104416961679,33.772,29.062,28.729,0.7909999999999968,1.8565000000000111,0.9840000000000089,0.5159999999999982,0.08200000000000074,0.3279999999999994
2022,2,RIC,12,92.506,94.7,92.84133333333334,2.3366467556321067,33.896,29.649,28.961,1.7339999999999947,0.8500000000000085,1.6966666666666868,0.6400000000000006,0.6690000000000005,0.5599999999999987
2022,2,RUS,10,92.839,96.41499999999999,94.11033333333334,1.6863394313653992,34.029,29.732,29.078,2.066999999999993,2.5649999999999977,2.965666666666692,0.7730000000000032,0.7519999999999989,0.6769999999999996
2022,2,SAI,8,91.139,94.7925,91.98033333333335,5.8328576676813,33.279,29.217,28.638,0.3669999999999902,0.9425000000000097,0.8356666666666968,0.02300000000000324,0.23699999999999832,0.23700000000000188
2022,2,STR,9,92.582,94.116,92.89566666666666,2.994256478845981,34.011,29.487,28.955,1.809999999999988,0.26600000000000534,1.7510000000000048,0.7550000000000026,0.5069999999999979,0.5539999999999985
2022,2,TSU,11,91.505,96.531,91.86766666666665,6.145264275698957,33.269,29.16,28.712,0.7329999999999899,2.6810000000000116,0.722999999999999,0.012999999999998124,0.17999999999999972,0.31099999999999994
2022,2,VER,12,90.888,95.74199999999999,91.35700000000001,4.966598512853518,33.507,28.98,28.401,0.11599999999999966,1.891999999999996,0.2123333333333619,0.25099999999999767,0.0,0.0
2022,2,ZHO,11,92.608,95.059,93.56099999999999,1.3639945747692686,34.354,29.368,28.886,1.8359999999999985,1.2090000000000032,2.416333333333341,1.097999999999999,0.3879999999999981,0.48499999999999943
