season,round,driver,sprint_lap_count,sprint_best_lap,sprint_median_lap,sprint_top3_average,sprint_lap_std,sprint_best_sector_1,sprint_best_sector_2,sprint_best_sector_3,sprint_best_lap_gap,sprint_median_lap_gap,sprint_top3_average_gap,sprint_best_sector_1_gap,sprint_best_sector_2_gap,sprint_best_sector_3_gap,sprint_finish_position
2022,4,ALB,17,81.02,81.629,81.17399999999999,0.7151144807569182,25.582,28.206,27.175,2.0079999999999956,2.254000000000005,2.0973333333333244,0.6750000000000007,0.8060000000000009,0.8279999999999994,18.0
2022,4,ALO,17,80.639,81.106,80.723,0.5294317847521827,25.334,27.905,27.005,1.6269999999999953,1.7309999999999945,1.646333333333331,0.4269999999999996,0.5050000000000026,0.6579999999999977,9.0
2022,4,BOT,17,80.219,80.859,80.37066666666665,0.6407848817706933,25.27,27.797,26.917,1.2069999999999936,1.4839999999999947,1.2939999999999827,0.36299999999999955,0.397000000000002,0.5700000000000003,7.0
2022,4,GAS,17,80.599,81.41,80.75433333333332,0.8325566620886756,25.547,27.857,27.022,1.5870000000000033,2.0349999999999966,1.6776666666666529,0.6400000000000006,0.45700000000000074,0.6749999999999972,17.0
2022,4,HAM,17,80.663,81.565,80.789,0.6952550896655708,25.455,27.952,27.057,1.6509999999999962,2.1899999999999977,1.7123333333333335,0.5479999999999983,0.5520000000000032,0.7099999999999973,14.0
2022,4,LAT,17,81.437,82.058,81.574,0.6587417094020107,25.841,28.223,27.346,2.424999999999997,2.683000000000007,2.49733333333333,0.934000000000001,0.8230000000000004,0.9989999999999988,19.0
2022,4,LEC,17,79.044,79.49,79.10066666666667,0.8396348164529627,25.173,27.435,26.347,0.031999999999996476,0.11499999999999488,0.02400000000000091,0.26599999999999824,0.03500000000000014,0.0,2.0
2022,4,MAG,17,80.557,81.175,80.766,0.4970701512805993,25.77,27.85,26.916,1.5450000000000017,1.7999999999999972,1.6893333333333374,0.8629999999999995,0.45000000000000284,0.5689999999999991,8.0
2022,4,MSC,17,80.567,81.1,80.73699999999998,0.579496358411135,25.429,27.925,27.046,1.5549999999999926,1.7249999999999943,1.6603333333333126,0.5219999999999985,0.5250000000000021,0.6989999999999981,10.0
2022,4,NOR,17,80.03,80.795,80.101,0.8485997679568806,25.385,27.579,26.895,1.0180000000000007,1.4200000000000017,1.024333333333331,0.47800000000000153,0.17900000000000205,0.5479999999999983,5.0
2022,4,OCO,17,80.995,81.416,81.10166666666667,0.6358324730803933,25.438,28.208,27.216,1.983000000000004,2.040999999999997,2.0250000000000057,0.5309999999999988,0.8079999999999998,0.8689999999999998,16.0
2022,4,PER,17,79.012,79.61,79.07666666666667,0.6851647558412929,24.91,27.41,26.399,0.0,0.23499999999999943,0.0,0.0030000000000001137,0.010000000000001563,0.0519999999999996,3.0
2022,4,RIC,17,80.328,80.98,80.47533333333334,0.4402048904637872,25.621,27.707,26.881,1.3160000000000025,1.605000000000004,1.3986666666666707,0.7139999999999986,0.30700000000000216,0.5339999999999989,6.0
2022,4,RUS,17,80.756,81.242,80.78399999999999,0.6094037828798219,25.525,27.866,27.152,1.7439999999999998,1.8670000000000044,1.7073333333333238,0.6179999999999986,0.4660000000000011,0.8049999999999997,11.0
2022,4,SAI,17,79.251,80.311,79.51633333333332,0.8561626683673398,24.907,27.568,26.536,0.23900000000000432,0.936000000000007,0.4396666666666533,0.0,0.1680000000000028,0.18900000000000006,4.0
2022,4,STR,17,80.948,81.511,81.04733333333333,0.6568930770725816,25.476,27.94,27.354,1.9359999999999928,2.1359999999999957,1.9706666666666592,0.5689999999999991,0.5400000000000027,1.006999999999998,15.0
2022,4,TSU,17,80.909,81.388,80.95066666666666,0.5749616419430787,25.509,28.065,27.127,1.8970000000000056,2.0130000000000052,1.8739999999999952,0.6020000000000003,0.6650000000000027,0.7799999999999976,12.0
2022,4,VER,17,79.154,79.375,79.19766666666666,0.4103907839952488,24.965,27.4,26.502,0.1419999999999959,0.0,0.12099999999999511,0.05799999999999983,0.0,0.15499999999999758,1.0
2022,4,VET,17,81.044,81.545,81.07366666666667,0.5831467944038878,25.639,27.866,27.205,2.0319999999999965,2.1700000000000017,1.9969999999999999,0.7319999999999993,0.4660000000000011,0.857999999999997,13.0
