season,round,driver,fp2_lap_count,fp2_best_lap,fp2_median_lap,fp2_top3_average,fp2_lap_std,fp2_best_sector_1,fp2_best_sector_2,fp2_best_sector_3,fp2_best_lap_gap,fp2_median_lap_gap,fp2_top3_average_gap,fp2_best_sector_1_gap,fp2_best_sector_2_gap,fp2_best_sector_3_gap
2023,2,ALB,15,90.81,95.773,90.89833333333333,2.3389616581071273,33.146,28.61,28.926,1.2070000000000078,0.8064999999999998,1.0273333333333312,0.527000000000001,0.29299999999999926,0.4159999999999968
2023,2,ALO,16,89.811,95.2425,90.13600000000001,2.624448053083416,32.64,28.317,28.677,0.20800000000001262,0.27600000000001046,0.2650000000000148,0.021000000000000796,0.0,0.16699999999999804
2023,2,BOT,17,91.052,96.944,92.22766666666666,7.701578395329865,33.112,28.817,29.123,1.4490000000000123,1.9775000000000063,2.356666666666669,0.4930000000000021,0.5,0.6129999999999995
2023,2,DEV,17,90.921,95.633,91.12866666666667,6.000490592075637,32.988,28.945,28.98,1.318000000000012,0.6664999999999992,1.2576666666666796,0.3689999999999998,0.6280000000000001,0.46999999999999886
2023,2,GAS,16,90.1,94.9665,90.17900000000002,5.478110239854614,32.729,28.578,28.721,0.4969999999999999,0.0,0.30800000000002115,0.10999999999999943,0.26099999999999923,0.21099999999999852
2023,2,HAM,13,90.599,95.229,90.79199999999999,4.220534672654274,33.205,28.575,28.666,0.9960000000000093,0.26250000000000284,0.9209999999999923,0.5859999999999985,0.2579999999999991,0.1559999999999988
2023,2,HUL,16,90.181,96.634,90.99566666666665,3.097441643249044,33.015,28.531,28.635,0.578000000000003,1.667500000000004,1.1246666666666556,0.3960000000000008,0.21399999999999864,0.125
2023,2,LEC,16,90.341,95.2635,90.57666666666667,2.298776296750078,32.943,28.631,28.767,0.7379999999999995,0.29699999999999704,0.7056666666666729,0.32399999999999807,0.31400000000000006,0.2569999999999979
2023,2,MAG,14,90.82,97.0145,92.24933333333333,2.765677375644862,33.154,28.582,29.084,1.2169999999999987,2.048000000000002,2.3783333333333303,0.5350000000000037,0.26500000000000057,0.5739999999999981
2023,2,NOR,13,90.721,95.753,92.19233333333334,1.7917246060995424,32.923,28.706,29.092,1.1180000000000092,0.7865000000000038,2.3213333333333424,0.30400000000000205,0.38899999999999935,0.5819999999999972
2023,2,OCO,16,90.039,95.15,90.29033333333335,2.2945752030604707,32.643,28.596,28.723,0.43600000000000705,0.18350000000000932,0.41933333333335554,0.02400000000000091,0.2789999999999999,0.2129999999999974
2023,2,PER,14,89.902,95.06700000000001,91.65933333333332,1.811751796308912,32.896,28.496,28.51,0.2990000000000066,0.10050000000001091,1.788333333333327,0.277000000000001,0.1789999999999985,0.0
2023,2,PIA,13,90.964,95.445,92.20166666666667,1.8690096067854793,33.209,28.803,28.952,1.3610000000000042,0.4784999999999968,2.330666666666673,0.5900000000000034,0.48600000000000065,0.44200000000000017
2023,2,RUS,14,90.07,95.3215,90.73433333333332,2.380282406599024,32.803,28.508,28.759,0.46699999999999875,0.355000000000004,0.8633333333333297,0.1839999999999975,0.19099999999999895,0.24899999999999878
2023,2,SAI,14,90.592,95.064,90.895,2.0422146201966767,32.981,28.669,28.749,0.9890000000000043,0.09749999999999659,1.024000000000001,0.3620000000000019,0.3520000000000003,0.23899999999999721
2023,2,SAR,17,90.959,96.01,91.47933333333333,4.3058362556295755,33.245,28.851,28.782,1.3560000000000088,1.0435000000000088,1.6083333333333343,0.6259999999999977,0.5339999999999989,0.27199999999999847
2023,2,STR,16,90.11,95.4365,90.35733333333333,2.4391371553276797,32.811,28.499,28.772,0.507000000000005,0.46999999999999886,0.4863333333333344,0.19200000000000017,0.1819999999999986,0.2619999999999969
2023,2,TSU,16,90.776,96.031,91.221,4.918033306109262,32.806,28.853,28.965,1.1730000000000018,1.0645000000000095,1.3500000000000085,0.1869999999999976,0.5360000000000014,0.4549999999999983
2023,2,VER,17,89.603,95.134,89.871,2.465142205956531,32.619,28.401,28.57,0.0,0.16750000000000398,0.0,0.0,0.08399999999999963,0.05999999999999872
2023,2,ZHO,13,90.837,95.331,91.51333333333334,2.246304552153522,33.246,28.801,28.79,1.2340000000000089,0.3645000000000067,1.6423333333333403,0.6270000000000024,0.4839999999999982,0.2799999999999976
