season,round,race_name,race_date,circuit,driver,team,grid_position,finish_position,winner
2022,3,Australian Grand Prix,2022-04-10,Albert Park Grand Prix Circuit,VER,Red Bull,2,18,0
2022,3,Australian Grand Prix,2022-04-10,Albert Park Grand Prix Circuit,VET,Aston Martin,17,19,0
2022,3,Australian Grand Prix,2022-04-10,Albert Park Grand Prix Circuit,SAI,Ferrari,9,20,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,VER,Red Bull,1,1,1
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,PER,Red Bull,3,2,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,NOR,McLaren,5,3,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,RUS,Mercedes,11,4,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,BOT,Alfa Romeo,7,5,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,LEC,Ferrari,2,6,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,TSU,AlphaTauri,12,7,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,VET,Aston Martin,13,8,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,MAG,Haas F1 Team,8,9,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,STR,Aston Martin,15,10,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,ALB,Williams,18,11,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,GAS,AlphaTauri,17,12,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,HAM,Mercedes,14,13,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,OCO,Alpine F1 Team,16,14,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,ZHO,Alfa Romeo,0,15,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,LAT,Williams,19,16,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,MSC,Haas F1 Team,10,17,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,RIC,McLaren,6,18,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,ALO,Alpine F1 Team,9,19,0
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,SAI,Ferrari,4,20,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,VER,Red Bull,3,1,1
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,LEC,Ferrari,1,2,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,SAI,Ferrari,2,3,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,PER,Red Bull,4,4,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,RUS,Mercedes,12,5,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,HAM,Mercedes,6,6,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,BOT,Alfa Romeo,5,7,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,OCO,Alpine F1 Team,20,8,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,ALB,Williams,18,9,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,STR,Aston Martin,0,10,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,ALO,Alpine F1 Team,11,11,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,TSU,AlphaTauri,9,12,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,RIC,McLaren,14,13,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,LAT,Williams,19,14,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,MSC,Haas F1 Team,15,15,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,MAG,Haas F1 Team,16,16,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,VET,Aston Martin,0,17,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,GAS,AlphaTauri,7,18,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,NOR,McLaren,8,19,0
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,ZHO,Alfa Romeo,17,20,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,VER,Red Bull,1,1,1
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,PER,Red Bull,2,2,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,ALO,Aston Martin,5,3,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,SAI,Ferrari,4,4,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,HAM,Mercedes,7,5,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,STR,Aston Martin,8,6,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,RUS,Mercedes,6,7,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,BOT,Alfa Romeo,12,8,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,GAS,Alpine F1 Team,20,9,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,ALB,Williams,15,10,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,TSU,AlphaTauri,14,11,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,SAR,Williams,16,12,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,MAG,Haas F1 Team,17,13,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,DEV,AlphaTauri,19,14,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,HUL,Haas F1 Team,10,15,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,ZHO,Alfa Romeo,13,16,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,NOR,McLaren,11,17,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,OCO,Alpine F1 Team,9,18,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,LEC,Ferrari,3,19,0
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,PIA,McLaren,18,20,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,PER,Red Bull,1,1,1
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,VER,Red Bull,15,2,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,ALO,Aston Martin,2,3,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,RUS,Mercedes,3,4,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,HAM,Mercedes,7,5,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,SAI,Ferrari,4,6,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,LEC,Ferrari,12,7,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,OCO,Alpine F1 Team,6,8,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,GAS,Alpine F1 Team,9,9,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,MAG,Haas F1 Team,13,10,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,TSU,AlphaTauri,16,11,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,HUL,Haas F1 Team,10,12,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,ZHO,Alfa Romeo,11,13,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,DEV,AlphaTauri,18,14,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,PIA,McLaren,8,15,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,SAR,Williams,20,16,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,NOR,McLaren,19,17,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,BOT,Alfa Romeo,14,18,0
