season,round,driver,fp1_lap_count,fp1_best_lap,fp1_median_lap,fp1_top3_average,fp1_lap_std,fp1_best_sector_1,fp1_best_sector_2,fp1_best_sector_3,fp1_best_lap_gap,fp1_median_lap_gap,fp1_top3_average_gap,fp1_best_sector_1_gap,fp1_best_sector_2_gap,fp1_best_sector_3_gap,fp2_lap_count,fp2_best_lap,fp2_median_lap,fp2_top3_average,fp2_lap_std,fp2_best_sector_1,fp2_best_sector_2,fp2_best_sector_3,fp2_best_lap_gap,fp2_median_lap_gap,fp2_top3_average_gap,fp2_best_sector_1_gap,fp2_best_sector_2_gap,fp2_best_sector_3_gap,fp3_lap_count,fp3_best_lap,fp3_median_lap,fp3_top3_average,fp3_lap_std,fp3_best_sector_1,fp3_best_sector_2,fp3_best_sector_3,fp3_best_lap_gap,fp3_median_lap_gap,fp3_top3_average_gap,fp3_best_sector_1_gap,fp3_best_sector_2_gap,fp3_best_sector_3_gap,quali_lap_count,quali_best_lap,quali_median_lap,quali_top3_average,quali_lap_std,quali_best_sector_1,quali_best_sector_2,quali_best_sector_3,quali_best_lap_gap,quali_median_lap_gap,quali_top3_average_gap,quali_best_sector_1_gap,quali_best_sector_2_gap,quali_best_sector_3_gap,sprint_lap_count,sprint_best_lap,sprint_median_lap,sprint_top3_average,sprint_lap_std,sprint_best_sector_1,sprint_best_sector_2,sprint_best_sector_3,sprint_best_lap_gap,sprint_median_lap_gap,sprint_top3_average_gap,sprint_best_sector_1_gap,sprint_best_sector_2_gap,sprint_best_sector_3_gap,sprint_finish_position,sprint_quali_lap_count,sprint_quali_best_lap,sprint_quali_median_lap,sprint_quali_top3_average,sprint_quali_lap_std,sprint_quali_best_sector_1,sprint_quali_best_sector_2,sprint_quali_best_sector_3,sprint_quali_best_lap_gap,sprint_quali_median_lap_gap,sprint_quali_top3_average_gap,sprint_quali_best_sector_1_gap,sprint_quali_best_sector_2_gap,sprint_quali_best_sector_3_gap
2022,1,ALB,7.0,95.923,98.92,96.851,9.389773948797904,30.219,41.475,24.015,1.730000000000004,3.661000000000002,1.9169999999999872,0.1479999999999997,0.983000000000004,0.4100000000000001,12.0,94.735,100.02,95.406,6.025374413111755,30.128,40.667,23.807,2.7989999999999924,6.560999999999993,2.937000000000012,0.7519999999999989,1.2220000000000013,0.7539999999999978,4.0,94.868,95.579,95.342,0.5260320015613766,30.189,40.906,23.773,2.323999999999998,1.782000000000011,1.9549999999999983,0.6149999999999984,1.333999999999996,0.6799999999999997,3.0,92.664,92.726,92.822,0.2221440973782517,29.564,39.785,23.203,2.1059999999999945,1.968999999999994,2.095000000000013,0.5940000000000012,1.0829999999999984,0.4959999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,ALO,6.0,95.0,95.259,95.142,6.580375723822056,30.292,40.826,23.822,0.8070000000000022,0.0,0.2079999999999842,0.221,0.3340000000000032,0.2169999999999987,14.0,92.877,98.245,93.54833333333332,4.943993912586495,29.8,39.682,23.395,0.9409999999999884,4.786000000000001,1.079333333333338,0.4239999999999995,0.2370000000000018,0.3419999999999987,8.0,94.628,101.1255,95.879,9.089133539562503,30.202,40.87,23.556,2.084000000000003,7.328499999999991,2.4920000000000044,0.6280000000000001,1.2979999999999947,0.4630000000000009,4.0,91.621,91.999,91.873,0.3365931025239052,29.301,39.305,23.01,1.0629999999999882,1.2419999999999902,1.1460000000000008,0.3309999999999995,0.6030000000000015,0.3030000000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,BOT,,,,,,,,,,,,,,,15.0,92.951,97.808,93.157,5.657683456613502,29.662,39.8,23.324,1.0149999999999864,4.349000000000004,0.6880000000000024,0.2859999999999978,0.3549999999999969,0.2710000000000008,7.0,93.733,94.617,93.82766666666669,1.7887761578400871,29.918,40.138,23.348,1.1890000000000072,0.8200000000000074,0.4406666666666723,0.3439999999999976,0.5659999999999954,0.254999999999999,5.0,91.56,91.817,91.698,0.3422949020946716,29.203,39.296,22.861,1.0019999999999951,1.059999999999988,0.9710000000000036,0.2330000000000005,0.5940000000000012,0.1539999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,GAS,14.0,94.193,97.6625,95.42766666666664,7.341504015444738,30.076,40.492,23.625,0.0,2.403499999999994,0.4936666666666411,0.004999999999999,0.0,0.0199999999999995,12.0,93.621,98.2965,94.11166666666668,2.2716026781267735,29.655,40.323,23.59,1.684999999999988,4.837500000000006,1.6426666666666847,0.2789999999999999,0.8780000000000001,0.536999999999999,9.0,94.176,96.805,94.89,14.915578071078718,29.978,40.544,23.624,1.632000000000005,3.0080000000000098,1.502999999999986,0.4039999999999999,0.9719999999999942,0.5309999999999988,7.0,91.635,92.338,92.01533333333332,0.5644598766794244,29.253,39.335,23.018,1.0769999999999982,1.5809999999999889,1.288333333333341,0.2830000000000012,0.6330000000000027,0.3109999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,HAM,4.0,94.943,97.2475,96.47933333333332,3.6324598070728857,30.512,40.613,23.818,0.75,1.988500000000002,1.5453333333333177,0.4409999999999989,0.1210000000000022,0.2130000000000009,16.0,93.144,98.8205,95.183,6.490953578827998,30.115,39.694,23.335,1.2079999999999984,5.361499999999992,2.714000000000013,0.7389999999999972,0.2490000000000023,0.282,4.0,93.121,94.326,93.92433333333334,2.66471016247546,29.632,40.182,23.307,0.5769999999999982,0.5289999999999964,0.5373333333333363,0.0579999999999998,0.6099999999999994,0.2139999999999986,6.0,91.048,91.827,91.26066666666668,0.6034117720650344,29.1,38.965,22.822,0.4899999999999949,1.0699999999999932,0.5336666666666758,0.1300000000000025,0.2630000000000052,0.1149999999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,HUL,12.0,95.815,99.348,96.21566666666666,7.048199453610744,30.693,41.171,23.945,1.622,4.088999999999999,1.281666666666652,0.6219999999999999,0.679000000000002,0.3399999999999998,17.0,94.061,100.168,95.77233333333334,4.0544621542559875,30.22,40.156,23.685,2.125,6.709000000000003,3.3033333333333417,0.8439999999999976,0.7109999999999985,0.6319999999999979,6.0,93.971,97.1015,95.42266666666669,1.6098231890490349,30.032,40.468,23.471,1.4270000000000067,3.3045000000000044,2.035666666666671,0.4579999999999984,0.8960000000000008,0.3780000000000001,2.0,92.777,93.1055,93.1055,0.4645691552395593,29.833,39.76,23.184,2.218999999999994,2.348500000000002,2.3785000000000167,0.8629999999999995,1.0579999999999998,0.4770000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,LAT,5.0,95.644,97.783,96.66366666666666,1.1565607204120316,30.217,41.716,23.711,1.4510000000000076,2.524000000000001,1.7296666666666454,0.1459999999999972,1.2240000000000038,0.1059999999999981,17.0,94.486,99.861,95.306,1.9777906791640596,30.219,40.618,23.603,2.549999999999997,6.402000000000001,2.8370000000000033,0.843,1.1730000000000018,0.5500000000000007,3.0,95.667,95.961,95.95133333333332,0.279625344583306,30.525,41.3,23.842,3.1230000000000047,2.1640000000000015,2.564333333333323,0.950999999999997,1.7279999999999944,0.7489999999999988,2.0,93.634,93.71,93.71,0.1074802307403559,29.81,40.37,23.3,3.0759999999999934,2.953000000000003,2.9830000000000183,0.8399999999999999,1.6679999999999993,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,LEC,9.0,94.557,96.648,95.68433333333331,7.356998914488012,30.077,40.632,23.667,0.3640000000000043,1.3889999999999958,0.750333333333316,0.0060000000000002,0.1400000000000005,0.0620000000000011,7.0,92.023,93.459,92.469,3.4272338631002333,29.454,39.445,23.087,0.086999999999989,0.0,0.0,0.0779999999999994,0.0,0.0339999999999989,5.0,92.64,93.797,93.387,15.654241160145704,29.668,39.598,23.374,0.0960000000000036,0.0,0.0,0.0939999999999976,0.0259999999999962,0.2809999999999988,5.0,90.558,90.932,90.74033333333334,0.3938480671528032,29.115,38.702,22.707,0.0,0.1749999999999971,0.0133333333333496,0.1449999999999995,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,MAG,12.0,96.804,98.26,97.02933333333334,0.8178611054933382,30.735,41.586,24.016,2.611000000000004,3.0009999999999906,2.095333333333329,0.6639999999999979,1.0940000000000012,0.4109999999999978,11.0,93.183,98.333,94.179,5.68077805010418,29.866,39.962,23.355,1.247,4.873999999999995,1.7099999999999935,0.4899999999999984,0.517000000000003,0.3019999999999996,6.0,93.437,97.5795,93.86033333333334,20.17009833391994,29.768,40.301,23.3,0.8930000000000007,3.782499999999999,0.4733333333333434,0.193999999999999,0.7289999999999992,0.2070000000000007,4.0,91.461,91.8815,91.74133333333332,0.3421408092194407,29.31,39.191,22.879,0.9029999999999916,1.1244999999999976,1.0143333333333402,0.3399999999999998,0.4890000000000043,0.1720000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,MSC,17.0,96.536,98.72,96.94100000000002,4.42354267295024,30.723,41.832,23.82,2.3430000000000035,3.4609999999999985,2.007000000000005,0.6519999999999975,1.3400000000000034,0.2149999999999998,14.0,93.085,99.4675,93.78233333333333,5.573789068212315,29.881,40.016,23.188,1.1489999999999867,6.008499999999998,1.3133333333333326,0.504999999999999,0.570999999999998,0.134999999999998,9.0,94.295,97.057,94.415,18.404443997608595,30.308,40.228,23.443,1.7510000000000048,3.260000000000005,1.0280000000000058,0.7339999999999982,0.6559999999999988,0.3500000000000014,3.0,91.998,92.38,92.32333333333332,0.301027130560239,29.538,39.43,22.995,1.4399999999999975,1.6229999999999905,1.5963333333333338,0.5680000000000014,0.7280000000000015,0.2880000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
