season,round,race_date,race_name,circuit,driver,team,grid_position,finish_position,points
2018,3,2018-04-15,Chinese Grand Prix,Shanghai International Circuit,HAR,Toro Rosso,15,20,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,HAM,Mercedes,2,1,25.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,RAI,Ferrari,6,2,18.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,PER,Force India,8,3,15.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,VET,Ferrari,1,4,12.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,SAI,Renault,9,5,10.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,LEC,Sauber,13,6,8.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,ALO,McLaren,12,7,6.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,STR,Williams,10,8,4.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,VAN,McLaren,16,9,2.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,HAR,Toro Rosso,19,10,1.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,ERI,Sauber,18,11,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,GAS,Toro Rosso,17,12,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,MAG,Haas F1 Team,15,13,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,BOT,Mercedes,3,14,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,GRO,Haas F1 Team,20,15,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,VER,Red Bull,5,16,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,RIC,Red Bull,4,17,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,HUL,Renault,14,18,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,OCO,Force India,7,19,0.0
2018,4,2018-04-29,Azerbaijan Grand Prix,Baku City Circuit,SIR,Williams,11,20,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAM,Mercedes,1,1,25.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,BOT,Mercedes,2,2,18.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VER,Red Bull,5,3,15.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VET,Ferrari,3,4,12.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RIC,Red Bull,6,5,10.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MAG,Haas F1 Team,7,6,8.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,SAI,Renault,9,7,6.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,ALO,McLaren,8,8,4.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,PER,Force India,15,9,2.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LEC,Sauber,14,10,1.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,STR,Williams,18,11,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAR,Toro Rosso,20,12,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,ERI,Sauber,17,13,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,SIR,Williams,19,14,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VAN,McLaren,11,15,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,OCO,Force India,13,16,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RAI,Ferrari,4,17,0.0
